user_id,skill_seq,problem_seq,timestamp,correct_seq
105,"[55, 55, 45, 79, 80, 82, 82, 37, 37, 37, 37, 37, 32, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 51, 22, 43, 22, 22, 51, 22, 43, 22, 22, 43, 43, 22, 44, 78, 38, 38, 38, 38, 38, 38, 38, 81, 81, 56, 56, 56]","[10228, 8262, 8262, 11924, 12325, 13008, 13009, 7383, 7365, 7377, 7348, 7342, 5963, 5486, 5586, 5582, 5587, 5588, 5589, 5530, 5590, 5591, 5464, 4201, 4201, 4202, 4202, 4203, 4203, 4191, 4204, 4204, 4205, 4205, 4206, 4206, 8095, 11728, 7471, 7472, 7473, 7474, 7475, 7476, 7477, 12438, 12456, 10321, 10314, 10299]","[3572, 5694, 5694, 8018, 29827, 30670, 16457, 26879, 21075, 27316, 20858, 19438, 9812, 5397, 5788, 3963, 9469, 22932, 5897, 19122, 4945, 11185, 11863, 18080, 18080, 37518, 37518, 25444, 25444, 17878, 23322, 23322, 18081, 18081, 13697, 13697, 93116, 14025, 21590, 27456, 15678, 18782, 26629, 12090, 21325, 26583, 10156, 9111, 20093, 13697]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1]"
3004,"[81, 81, 81, 81, 58, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 79, 79, 79, 79, 79, 32, 32, 32, 32, 32, 32, 32, 32, 33, 33, 33, 39, 46, 39, 46, 39, 46, 39, 46, 46, 39, 34, 35, 46, 46, 34, 35, 46, 35, 34]","[12614, 12768, 12769, 12798, 10793, 12738, 12579, 12499, 12678, 12545, 12729, 12631, 12552, 12536, 12718, 12124, 11980, 11943, 12005, 12022, 6236, 6029, 6308, 6034, 6181, 6335, 6451, 6130, 6639, 6619, 6635, 7673, 7673, 7653, 7653, 7681, 7681, 7663, 7663, 7676, 7676, 6778, 6778, 6778, 6801, 6801, 6801, 6874, 6874, 6874]","[4611, 3375, 3804, 11219, 50454, 7344, 6563, 6000, 4891, 6719, 7110, 8094, 8766, 8766, 5844, 10641, 59079, 4938, 13344, 9422, 19954, 11578, 11125, 12625, 12219, 12110, 6125, 5516, 22891, 14860, 20297, 41115, 41115, 9536, 9536, 14460, 14460, 5908, 5908, 9283, 9283, 55780, 55780, 55780, 79450, 79450, 79450, 19969, 19969, 19969]","[0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
4676,"[13, 12, 12, 13, 12, 13, 12, 13, 12, 13, 32, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 20, 20, 81, 7, 7, 7, 7, 32, 6, 9, 9, 6, 6, 9, 6, 9]","[2522, 2522, 2521, 2521, 2470, 2470, 2478, 2478, 2471, 2471, 6094, 14219, 14250, 14300, 14209, 14272, 14270, 14264, 14271, 14275, 14229, 14207, 14208, 14221, 5539, 5504, 5447, 5491, 5470, 5625, 5521, 5624, 5492, 5462, 3912, 3959, 12498, 1950, 2022, 1957, 1939, 6129, 1491, 1491, 1602, 1602, 1585, 1585, 1504, 1504]","[17687, 17687, 5453, 5453, 6844, 6844, 4906, 4906, 3781, 3781, 5083, 5374, 64849, 37579, 5340, 99106, 7951, 44648, 23727, 16447, 7371, 55260, 4844, 34574, 1758, 1976, 2023, 2277, 1433, 18209, 13326, 5152, 12534, 4906, 51430, 11562, 6767, 24158, 18620, 142457, 32797, 8022, 234330, 234330, 166805, 166805, 184617, 184617, 136004, 136004]","[0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1]"
5145,"[98, 98, 98, 57, 33, 32, 32, 33, 33, 32, 32, 33, 32, 33, 30, 98, 97, 9, 97, 96, 96, 97, 96, 25, 20, 20, 13, 13, 99, 99, 99, 63, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 63, 31, 1, 49, 31, 1, 24]","[14893, 14711, 14911, 10706, 6287, 6287, 6291, 6291, 6278, 6278, 6200, 6200, 6212, 6212, 5519, 15109, 14513, 2266, 14673, 14496, 14420, 14580, 14364, 4588, 4087, 4030, 2788, 2802, 15798, 15837, 15899, 11428, 15833, 16112, 15725, 15720, 15835, 15868, 15925, 15798, 15810, 15728, 15729, 11436, 267, 267, 267, 379, 379, 379]","[34235, 14328, 42063, 37000, 15165, 15165, 18397, 18397, 8558, 8558, 15950, 15950, 18046, 18046, 11188, 15797, 53125, 34625, 6031, 10250, 5468, 7516, 13375, 66330, 75830, 25773, 70112, 29576, 33563, 152500, 40234, 47531, 23843, 4359, 34812, 58140, 38281, 46297, 56140, 20035, 40220, 36316, 21638, 71098, 66562, 66562, 66562, 41318, 41318, 41318]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1]"
509,"[45, 45, 55, 45, 55, 55, 55, 45, 79, 79, 79, 79, 79, 79, 79, 80, 80, 80, 80, 82, 82, 79, 80, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 78, 79, 79, 79, 79, 79, 79, 79, 81, 81, 81, 81, 81, 36, 36, 36, 36]","[8329, 8278, 8278, 8276, 8276, 10221, 8288, 8288, 12147, 12104, 11912, 12146, 12010, 12138, 11978, 12338, 12327, 12329, 12331, 13129, 13058, 11925, 12322, 7392, 7362, 7342, 7383, 7391, 7349, 7395, 7350, 7399, 7351, 11705, 12163, 11983, 11965, 12053, 11946, 12028, 11914, 12706, 12609, 12700, 12780, 12611, 7328, 7330, 7246, 7260]","[24125, 11828, 11828, 52735, 52735, 11047, 20109, 20109, 11531, 107969, 7703, 8719, 3094, 4016, 48937, 175125, 11063, 10641, 14562, 8922, 28203, 5640, 10109, 27860, 26141, 34703, 22813, 26953, 24500, 25547, 84375, 10969, 11531, 17016, 6718, 3047, 6453, 5500, 2985, 2391, 4281, 6703, 3094, 1906, 2125, 3562, 8156, 4219, 5875, 4281]","[0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1]"
1332,"[99, 99, 63, 99, 99, 63, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 63, 99, 63, 99, 99, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 99, 63, 99, 98, 59]","[15748, 16093, 11429, 15747, 15945, 11425, 15776, 15777, 15778, 15779, 15852, 15888, 15889, 15890, 15770, 15773, 15774, 15775, 11430, 15837, 11428, 15870, 15722, 14877, 14926, 15199, 15200, 15201, 14922, 14713, 15269, 15270, 15271, 14792, 14793, 14794, 14795, 14802, 15666, 15667, 15668, 14715, 14808, 14849, 14806, 15788, 11427, 15768, 14931, 11203]","[194980, 31736, 65369, 246010, 14179, 40167, 33326, 17064, 9372, 2427, 50711, 5789, 5124, 4543, 217245, 6089, 10475, 4438, 38278, 29120, 47808, 30427, 46514, 36931, 115276, 7570, 5500, 8528, 29057, 59933, 2250, 21129, 1297, 55604, 2391, 10064, 40403, 77864, 1863, 1294, 32397, 141586, 57544, 62032, 50371, 34424, 74540, 85858, 42762, 45762]","[0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
457,"[79, 81, 81, 79, 41, 41, 41, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 81, 33, 32, 32, 32, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 34, 34, 35, 46, 34, 34, 35, 46, 35, 46, 34, 34, 46, 35, 46, 35, 34]","[11982, 12782, 12452, 11965, 7783, 7701, 7725, 7784, 7773, 7732, 7778, 7741, 7787, 7885, 7919, 7838, 7803, 12497, 6192, 6192, 6153, 6027, 6469, 6462, 6495, 6489, 6479, 6481, 6467, 6492, 6478, 6474, 6601, 6910, 7069, 6845, 6845, 6845, 7011, 7011, 7011, 6919, 6919, 6919, 6809, 6809, 6809, 6945, 6945, 6945]","[4520, 3595, 3241, 5401, 90049, 13505, 20226, 11844, 3974, 6032, 6846, 6480, 17603, 57764, 8298, 7955, 10728, 5034, 19839, 19839, 12223, 8714, 13963, 7692, 28562, 6357, 10552, 5649, 6826, 9896, 8008, 8091, 7502, 4962, 7907, 61533, 61533, 61533, 57197, 57197, 57197, 51268, 51268, 51268, 35325, 35325, 35325, 59326, 59326, 59326]","[1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1]"
2185,"[86, 86, 86, 86, 86, 86, 86, 86, 89, 86, 86, 25, 25, 27, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 80, 22, 29, 29, 29, 29, 29, 29, 29, 29, 23, 29, 23, 29, 29, 23, 23, 29, 23, 29, 29, 23, 29, 23, 92, 92]","[13473, 13474, 13526, 13478, 13479, 13480, 13481, 13434, 13745, 13445, 13468, 4541, 4504, 4956, 4652, 4687, 4726, 4716, 4823, 4729, 4676, 4660, 4684, 4834, 4273, 4273, 5373, 5133, 5061, 4995, 5197, 5023, 4997, 5107, 4397, 4397, 4375, 4375, 4371, 4371, 4384, 4384, 4379, 4379, 4399, 4399, 4381, 4381, 14034, 13976]","[18500, 5703, 27906, 18782, 10359, 3922, 4687, 16891, 23031, 15438, 9578, 133187, 50641, 31750, 31406, 14844, 19484, 17671, 13265, 104171, 12125, 10328, 9407, 40985, 78656, 78656, 11906, 29813, 29687, 46812, 11750, 22344, 27781, 17156, 29031, 29031, 29500, 29500, 84250, 84250, 9735, 9735, 4765, 4765, 8609, 8609, 8860, 8860, 45141, 63391]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
1922,"[98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 99, 99, 99, 99, 99, 63, 99, 99, 99, 99, 99, 63, 99, 99, 99, 98, 98, 98, 98, 98, 98, 98, 98, 98, 99, 99, 99, 99, 63, 99, 99, 99, 59, 98, 119, 119, 59, 58, 58, 58]","[14703, 15693, 14842, 14682, 14699, 14700, 14701, 14778, 14961, 14684, 15897, 15783, 15771, 15772, 15829, 11426, 15781, 15891, 15892, 15893, 15798, 11442, 15726, 15821, 15832, 14755, 14868, 14806, 15567, 15251, 15685, 14704, 15602, 14778, 15866, 15947, 15948, 15949, 11440, 15827, 16123, 16124, 11272, 15461, 17560, 17594, 11264, 10939, 10942, 8319]","[26572, 11369, 65267, 292222, 20795, 38934, 42503, 114255, 25881, 40822, 66836, 41314, 51838, 26134, 46896, 49391, 43593, 3982, 3342, 1637, 55160, 30235, 41624, 93853, 22361, 35904, 39625, 42901, 75567, 14437, 36453, 13390, 10922, 40235, 190547, 3344, 2625, 1797, 281906, 79437, 1734, 11093, 25875, 270422, 198156, 56985, 24359, 68484, 77875, 15424453]","[1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0]"
376,"[80, 82, 82, 82, 82, 81, 82, 82, 82, 82, 82, 80, 82, 82, 82, 82, 82, 79, 42, 42, 42, 42, 81, 81, 79, 79, 36, 81, 17, 55, 45, 55, 55, 45, 55, 37, 55, 80, 82, 82, 37, 37, 37, 37, 37, 32, 32, 32, 32, 32]","[12333, 12980, 12911, 12933, 13072, 12486, 12914, 12973, 12941, 13022, 12958, 12341, 13072, 12910, 12968, 12974, 13010, 12170, 7888, 7819, 7797, 7789, 12523, 12726, 11968, 11944, 7232, 12474, 3532, 8329, 8329, 10216, 10237, 8333, 8333, 7412, 7412, 12330, 13102, 13034, 7387, 7364, 7355, 7349, 7347, 6039, 6053, 5964, 6004, 5998]","[133699, 51624, 18929, 83507, 86909, 17369, 24473, 14191, 30230, 29792, 8590, 38704, 61783, 73159, 24970, 56846, 11782, 38063, 119065, 15126, 20750, 28313, 12250, 8657, 16751, 14766, 5313, 16297, 8609, 35721, 35721, 4701, 2808, 13352, 13352, 14814, 14814, 26847, 85710, 24060, 23111, 23184, 20768, 21881, 35736, 85226, 10447, 10271, 19144, 18751]","[1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0]"
